Frequency (Hz)	   TP6/Control (g/g)
1.464843800e-01	   6.123129400e+00
5.859375000e-01	   6.367106000e+00
1.171875000e+00	   6.604954200e+00
1.757812500e+00	   6.457123800e+00
2.343750000e+00	   5.854278100e+00
2.929687500e+00	   5.413605200e+00
3.515625000e+00	   5.188824200e+00
4.101562500e+00	   4.254886200e+00
4.687500000e+00	   3.734952400e+00
5.273437500e+00	   3.786317300e+00
5.859375000e+00	   3.769870000e+00
6.445312500e+00	   2.785323600e+00
7.031250000e+00	   2.508119300e+00
7.617187500e+00	   2.487010200e+00
8.203125000e+00	   2.454402200e+00
8.789062500e+00	   2.379338000e+00
9.375000000e+00	   1.873312100e+00
9.960937500e+00	   1.918732200e+00
1.054687500e+01	   2.081517700e+00
1.113281300e+01	   1.599724800e+00
1.171875000e+01	   1.488141400e+00
1.230468800e+01	   1.455583900e+00
1.289062500e+01	   1.414650000e+00
1.347656300e+01	   1.331758600e+00
1.406250000e+01	   1.277394300e+00
1.464843800e+01	   1.285575000e+00
1.523437500e+01	   1.180784300e+00
1.582031300e+01	   1.242445000e+00
1.640625000e+01	   1.156336800e+00
1.699218800e+01	   1.089637800e+00
1.757812500e+01	   9.778797600e-01
1.816406300e+01	   9.583998300e-01
1.875000000e+01	   9.578729300e-01
1.933593800e+01	   9.547952400e-01
1.992187500e+01	   9.563216000e-01
2.050781300e+01	   9.549089700e-01
2.109375000e+01	   9.538254100e-01
2.167968800e+01	   9.600316300e-01
2.226562500e+01	   9.683379500e-01
2.285156300e+01	   9.743186200e-01
2.343750000e+01	   9.730685900e-01
2.402343800e+01	   9.726842000e-01
2.460937500e+01	   9.714321500e-01
2.519531300e+01	   9.661921900e-01
2.578125000e+01	   9.621763200e-01
2.636718800e+01	   9.584690300e-01
2.695312500e+01	   9.568728800e-01
2.753906300e+01	   9.559245100e-01
2.812500000e+01	   9.548295700e-01
2.871093800e+01	   9.554562000e-01
2.929687500e+01	   9.563858500e-01
2.988281300e+01	   9.591378600e-01
3.046875000e+01	   9.654464700e-01
3.105468800e+01	   9.777689600e-01
3.164062500e+01	   9.962910400e-01
3.222656300e+01	   1.015504800e+00
3.281250000e+01	   1.019400700e+00
3.339843800e+01	   1.021422300e+00
3.398437500e+01	   1.025222900e+00
3.457031300e+01	   1.028727800e+00
3.515625000e+01	   1.025279800e+00
3.574218800e+01	   1.020673900e+00
3.632812500e+01	   1.016550700e+00
3.691406300e+01	   1.013602000e+00
3.750000000e+01	   1.011797100e+00
3.808593800e+01	   1.009501300e+00
3.867187500e+01	   1.008154500e+00
3.925781300e+01	   1.007476800e+00
3.984375000e+01	   1.005328300e+00
4.042968800e+01	   1.003434300e+00
4.101562500e+01	   1.004566900e+00
4.160156300e+01	   1.004417400e+00
4.218750000e+01	   1.002953400e+00
4.277343800e+01	   1.003388500e+00
4.335937500e+01	   1.003612800e+00
4.394531300e+01	   1.002769400e+00
4.453125000e+01	   1.002794000e+00
4.511718800e+01	   1.002268400e+00
4.570312500e+01	   1.002773200e+00
4.628906300e+01	   1.002466000e+00
4.687500000e+01	   1.002472400e+00
4.746093800e+01	   1.003128800e+00
4.804687500e+01	   1.002758900e+00
4.863281300e+01	   1.004086900e+00
4.921875000e+01	   1.005253100e+00
4.980468800e+01	   1.005182300e+00
5.039062500e+01	   1.005307400e+00
5.097656300e+01	   1.007290000e+00
5.156250000e+01	   1.010045600e+00
5.214843800e+01	   1.010740900e+00
5.273437500e+01	   1.011729000e+00
5.332031300e+01	   1.013069200e+00
5.390625000e+01	   1.014132900e+00
5.449218800e+01	   1.014511000e+00
5.507812500e+01	   1.015238800e+00
5.566406300e+01	   1.014295800e+00
5.625000000e+01	   1.018657200e+00
5.683593800e+01	   1.018918400e+00
5.742187500e+01	   1.016453600e+00
5.800781300e+01	   1.016530800e+00
5.859375000e+01	   1.017736100e+00
5.917968800e+01	   1.018145800e+00
5.976562500e+01	   1.019070300e+00
6.035156300e+01	   1.021268700e+00
6.093750000e+01	   1.021579600e+00
6.152343800e+01	   1.020231100e+00
6.210937500e+01	   1.018803000e+00
6.269531300e+01	   1.018240500e+00
6.328125000e+01	   1.019893200e+00
6.386718800e+01	   1.020889600e+00
6.445312500e+01	   1.019748700e+00
6.503906300e+01	   1.015234200e+00
6.562500000e+01	   1.011932700e+00
6.621093800e+01	   1.011854100e+00
6.679687500e+01	   1.012273700e+00
6.738281300e+01	   1.011933000e+00
6.796875000e+01	   1.011532500e+00
6.855468800e+01	   1.010399000e+00
6.914062500e+01	   1.010427500e+00
6.972656300e+01	   1.009747300e+00
7.031250000e+01	   1.009710200e+00
7.089843800e+01	   1.009458400e+00
7.148437500e+01	   1.010187600e+00
7.207031300e+01	   1.009719700e+00
7.265625000e+01	   1.009908700e+00
7.324218800e+01	   1.010370000e+00
7.382812500e+01	   1.009982500e+00
7.441406300e+01	   1.009146500e+00
7.500000000e+01	   1.010816200e+00
7.558593800e+01	   1.012718600e+00
7.617187500e+01	   1.012482800e+00
7.675781300e+01	   1.011758200e+00
7.734375000e+01	   1.012062200e+00
7.792968800e+01	   1.012884900e+00
7.851562500e+01	   1.012787000e+00
7.910156300e+01	   1.013936800e+00
7.968750000e+01	   1.014201600e+00
8.027343800e+01	   1.014524100e+00
8.085937500e+01	   1.014680400e+00
8.144531300e+01	   1.015133300e+00
8.203125000e+01	   1.015082000e+00
8.261718800e+01	   1.016783600e+00
8.320312500e+01	   1.016555100e+00
8.378906300e+01	   1.017567300e+00
8.437500000e+01	   1.018721600e+00
8.496093800e+01	   1.018645400e+00
8.554687500e+01	   1.018947100e+00
8.613281300e+01	   1.020563800e+00
8.671875000e+01	   1.020516000e+00
8.730468800e+01	   1.021374700e+00
8.789062500e+01	   1.020758600e+00
8.847656300e+01	   1.020216000e+00
8.906250000e+01	   1.021387800e+00
8.964843800e+01	   1.022539400e+00
9.023437500e+01	   1.022802200e+00
9.082031300e+01	   1.023986500e+00
9.140625000e+01	   1.024108400e+00
9.199218800e+01	   1.023984100e+00
9.257812500e+01	   1.024780400e+00
9.316406300e+01	   1.025733200e+00
9.375000000e+01	   1.025986600e+00
9.433593800e+01	   1.026442100e+00
9.492187500e+01	   1.028199300e+00
9.550781300e+01	   1.028707400e+00
9.609375000e+01	   1.029270800e+00
9.667968800e+01	   1.030076900e+00
9.726562500e+01	   1.031018100e+00
9.785156300e+01	   1.030955200e+00
9.843750000e+01	   1.031878600e+00
9.902343800e+01	   1.031549700e+00
9.960937500e+01	   1.030898100e+00
1.001953100e+02	   1.030410800e+00
1.007812500e+02	   1.033485200e+00
1.013671900e+02	   1.034049000e+00
1.019531300e+02	   1.034701600e+00
1.025390600e+02	   1.037185700e+00
1.031250000e+02	   1.037235400e+00
1.037109400e+02	   1.037927400e+00
1.042968800e+02	   1.039272300e+00
1.048828100e+02	   1.038745900e+00
1.054687500e+02	   1.039306800e+00
1.060546900e+02	   1.040043600e+00
1.066406300e+02	   1.041463900e+00
1.072265600e+02	   1.041933700e+00
1.078125000e+02	   1.042378900e+00
1.083984400e+02	   1.042184400e+00
1.089843800e+02	   1.043280200e+00
1.095703100e+02	   1.042637000e+00
1.101562500e+02	   1.044273300e+00
1.107421900e+02	   1.046848200e+00
1.113281300e+02	   1.047337100e+00
1.119140600e+02	   1.046539300e+00
1.125000000e+02	   1.047246300e+00
1.130859400e+02	   1.047523300e+00
1.136718800e+02	   1.049228100e+00
1.142578100e+02	   1.051044300e+00
1.148437500e+02	   1.051258700e+00
1.154296900e+02	   1.052032900e+00
1.160156300e+02	   1.053898700e+00
1.166015600e+02	   1.054665300e+00
1.171875000e+02	   1.053959700e+00
1.177734400e+02	   1.055149700e+00
1.183593800e+02	   1.056534300e+00
1.189453100e+02	   1.056905000e+00
1.195312500e+02	   1.056240300e+00
1.201171900e+02	   1.056177400e+00
1.207031300e+02	   1.060226000e+00
1.212890600e+02	   1.061978000e+00
1.218750000e+02	   1.062354800e+00
1.224609400e+02	   1.063043500e+00
1.230468800e+02	   1.062409900e+00
1.236328100e+02	   1.063125600e+00
1.242187500e+02	   1.063865400e+00
1.248046900e+02	   1.064649900e+00
1.253906300e+02	   1.064624300e+00
1.259765600e+02	   1.065570400e+00
1.265625000e+02	   1.066648700e+00
1.271484400e+02	   1.067378600e+00
1.277343800e+02	   1.068826600e+00
1.283203100e+02	   1.070963000e+00
1.289062500e+02	   1.070719800e+00
1.294921900e+02	   1.073232400e+00
1.300781300e+02	   1.073608400e+00
1.306640600e+02	   1.074125500e+00
1.312500000e+02	   1.074323100e+00
1.318359400e+02	   1.075259200e+00
1.324218800e+02	   1.075540500e+00
1.330078100e+02	   1.077409500e+00
1.335937500e+02	   1.078856700e+00
1.341796900e+02	   1.079716400e+00
1.347656300e+02	   1.079779700e+00
1.353515600e+02	   1.081465800e+00
1.359375000e+02	   1.080733300e+00
1.365234400e+02	   1.083811900e+00
1.371093800e+02	   1.084853600e+00
1.376953100e+02	   1.085967100e+00
1.382812500e+02	   1.086812700e+00
1.388671900e+02	   1.086940500e+00
1.394531300e+02	   1.086509300e+00
1.400390600e+02	   1.089002500e+00
1.406250000e+02	   1.090390000e+00
1.412109400e+02	   1.090514300e+00
1.417968800e+02	   1.093136200e+00
1.423828100e+02	   1.095224600e+00
1.429687500e+02	   1.095544900e+00
1.435546900e+02	   1.097446600e+00
1.441406300e+02	   1.098038900e+00
1.447265600e+02	   1.098509700e+00
1.453125000e+02	   1.100349200e+00
1.458984400e+02	   1.101293100e+00
1.464843800e+02	   1.101016000e+00
1.470703100e+02	   1.101672800e+00
1.476562500e+02	   1.102833900e+00
1.482421900e+02	   1.107546800e+00
