Time (s)		Acceleration (g)	
0.000000e+000	-4.250495e+000			
1.562500e-004	-9.983719e+000			
3.125000e-004	-2.174124e+001			
4.687500e-004	-2.283003e+001			
6.250000e-004	-2.256416e+001			
7.812500e-004	-4.110661e+000			
9.375000e-004	1.587790e+001			
1.093750e-003	2.297190e+001			
1.250000e-003	2.291549e+001			
1.406250e-003	1.811778e+001			
1.562500e-003	8.424292e+000			
1.718750e-003	-4.917621e+000			
1.875000e-003	-1.369540e+001			
2.031250e-003	-1.386968e+001			
2.187500e-003	-1.840213e+001			
2.343750e-003	-1.171383e+001			
2.500000e-003	-1.047692e+001			
2.656250e-003	1.188535e+000			
2.812500e-003	-1.190780e+001			
2.968750e-003	1.061424e+000			
3.125000e-003	-8.048239e+000			
3.281250e-003	-4.203324e+000			
3.437500e-003	-2.026991e+001			
3.593750e-003	-1.593600e+001			
3.750000e-003	-1.855733e+001			
3.906250e-003	-9.969196e+000			
4.062500e-003	-4.101298e+000			
4.218750e-003	1.189159e+001			
4.375000e-003	3.863195e+001			
4.531250e-003	2.947416e+001			
4.687500e-003	1.428799e+001			
4.843750e-003	6.676178e+000			
5.000000e-003	-7.254242e+000			
5.156250e-003	-1.353588e+001			
5.312500e-003	-1.414707e+001			
5.468750e-003	4.229250e+000			
5.625000e-003	2.498552e+001			
5.781250e-003	3.837389e+001			
5.937500e-003	1.937017e+001			
6.093750e-003	2.221800e+001			
6.250000e-003	7.329140e+000			
6.406250e-003	1.604678e+000			
6.562500e-003	-1.071206e+001			
6.718750e-003	-3.734967e+000			
6.875000e-003	-1.734659e+001			
7.031250e-003	-1.944483e+001			
7.187500e-003	-1.445435e+001			
7.343750e-003	-7.092801e+000			
7.500000e-003	-5.293314e-001			
7.656250e-003	4.751860e+000			
7.812500e-003	3.471862e+000			
7.968750e-003	-6.112518e+000			
8.125000e-003	-2.034709e+001			
8.281250e-003	-1.908270e+001			
8.437500e-003	-2.009695e+001			
8.593750e-003	-6.037499e+000			
8.750000e-003	2.548713e+000			
8.906250e-003	1.607139e+001			
9.062500e-003	3.265351e+001			
9.218750e-003	3.251187e+001			
9.375000e-003	1.707208e+001			
9.531250e-003	1.346134e+000			
9.687500e-003	-5.435069e+000			
9.843750e-003	-1.017709e+001			
1.000000e-002	-8.026873e+000			
1.015625e-002	-2.644377e+000			
1.031250e-002	1.133838e+001			
1.046875e-002	1.611964e+001			
1.062500e-002	9.187682e+000			
1.078125e-002	4.113421e-001			
1.093750e-002	-3.123656e+000			
1.109375e-002	-4.002994e+000			
1.125000e-002	-8.605057e+000			
1.140625e-002	-1.819880e+001			
1.156250e-002	-1.745041e+001			
1.171875e-002	-5.655204e+000			
1.187500e-002	1.620522e+000			
1.203125e-002	1.259353e+001			
1.218750e-002	2.391954e+001			
1.234375e-002	1.696009e+001			
1.250000e-002	1.591895e+001			
1.265625e-002	-3.153063e+000			
1.281250e-002	-4.792430e+000			
1.296875e-002	-1.007542e+001			
1.312500e-002	-4.100218e+000			
1.328125e-002	7.456011e+000			
1.343750e-002	1.529792e+001			
1.359375e-002	1.014624e+001			
1.375000e-002	6.171092e+000			
